Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000000400000 CH2:0.0000000400000,,Second,Volt,Volt
,,,-0.00039904000,0.36000,0.04000
,,,-0.00039900001,0.36000,0.04080
,,,-0.00039895999,0.34000,0.04080
,,,-0.00039892000,0.36000,0.04080
,,,-0.00039887999,0.34000,0.04080
,,,-0.00039884000,0.34000,0.04000
,,,-0.00039880001,0.34000,0.04080
,,,-0.00039875999,0.34000,0.04160
,,,-0.00039872000,0.34000,0.04080
,,,-0.00039867999,0.32000,0.04080
,,,-0.00039864000,0.32000,0.04080
,,,-0.00039860001,0.32000,0.04160
,,,-0.00039855999,0.32000,0.04160
,,,-0.00039852000,0.32000,0.04160
,,,-0.00039847998,0.32000,0.04160
,,,-0.00039844000,0.32000,0.04160
,,,-0.00039840001,0.30000,0.04160
,,,-0.00039835999,0.30000,0.04160
,,,-0.00039832000,0.30000,0.04240
,,,-0.00039828001,0.30000,0.04240
,,,-0.00039823999,0.30000,0.04240
,,,-0.00039820001,0.30000,0.04240
,,,-0.00039815999,0.28000,0.04240
,,,-0.00039812000,0.30000,0.04240
,,,-0.00039808001,0.28000,0.04240
,,,-0.00039803999,0.28000,0.04240
,,,-0.00039800000,0.28000,0.04320
,,,-0.00039795999,0.26000,0.04240
,,,-0.00039792000,0.28000,0.04240
,,,-0.00039788001,0.26000,0.04320
,,,-0.00039783999,0.26000,0.04320
,,,-0.00039780000,0.26000,0.04320
,,,-0.00039775998,0.26000,0.04320
,,,-0.00039772000,0.24000,0.04320
,,,-0.00039768001,0.24000,0.04320
,,,-0.00039763999,0.24000,0.04400
,,,-0.00039760000,0.24000,0.04320
,,,-0.00039756001,0.24000,0.04320
,,,-0.00039751999,0.24000,0.04400
,,,-0.00039748001,0.24000,0.04320
,,,-0.00039743999,0.24000,0.04320
,,,-0.00039740000,0.22000,0.04400
,,,-0.00039736001,0.22000,0.04480
,,,-0.00039731999,0.22000,0.04400
,,,-0.00039728000,0.22000,0.04400
,,,-0.00039723999,0.22000,0.04400
,,,-0.00039720000,0.20000,0.04400
,,,-0.00039716001,0.20000,0.04400
,,,-0.00039711999,0.20000,0.04400
,,,-0.00039708000,0.20000,0.04480
,,,-0.00039703998,0.20000,0.04480
,,,-0.00039700000,0.20000,0.04480
,,,-0.00039696001,0.18000,0.04400
,,,-0.00039691999,0.18000,0.04400
,,,-0.00039688000,0.18000,0.04480
,,,-0.00039683998,0.18000,0.04480
,,,-0.00039679999,0.18000,0.04480
,,,-0.00039676001,0.16000,0.04560
,,,-0.00039671999,0.16000,0.04560
,,,-0.00039668000,0.16000,0.04480
,,,-0.00039664001,0.16000,0.04480
,,,-0.00039659999,0.16000,0.04560
,,,-0.00039656000,0.16000,0.04560
,,,-0.00039651999,0.14000,0.04560
,,,-0.00039648000,0.14000,0.04560
,,,-0.00039644001,0.14000,0.04560
,,,-0.00039639999,0.14000,0.04480
,,,-0.00039636000,0.14000,0.04560
,,,-0.00039631999,0.14000,0.04560
,,,-0.00039628000,0.12000,0.04560
,,,-0.00039624001,0.12000,0.04560
,,,-0.00039619999,0.12000,0.04560
,,,-0.00039616000,0.12000,0.04560
,,,-0.00039611998,0.12000,0.04560
,,,-0.00039607999,0.10000,0.04560
,,,-0.00039604001,0.10000,0.04560
,,,-0.00039599999,0.10000,0.04560
,,,-0.00039596000,0.10000,0.04640
,,,-0.00039592001,0.10000,0.04560
